NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                             MESSAGE
kube-system                   35m         Normal    Created                                  pod/konnectivity-agent-5446844985-c46v8                            Container created
kube-system                   35m         Normal    Pulled                                   pod/konnectivity-agent-5446844985-c46v8                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976" in 845ms (11.929s including waiting). Image size: 2887395 bytes.
kube-system                   35m         Normal    Started                                  pod/konnectivity-agent-autoscaler-685569f784-vb7c2                 Container started
kube-system                   35m         Normal    Started                                  pod/konnectivity-agent-5446844985-c46v8                            Container started
kube-system                   35m         Normal    Created                                  pod/gke-metrics-agent-slgq6                                        Container created
kube-system                   35m         Normal    Pulled                                   pod/gke-metrics-agent-slgq6                                        Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df" in 5.015s (16.827s including waiting). Image size: 31395961 bytes.
kube-system                   35m         Normal    Pulling                                  pod/konnectivity-agent-5446844985-c46v8                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/proxy-agent:v0.35.0-gke.1@sha256:2065f91ef5b24b14f6b9da1f1eedf83895d5167918a93cb1770c1124e4ab038d"
kube-system                   35m         Normal    Started                                  pod/gke-metrics-agent-slgq6                                        Container started
kube-system                   35m         Normal    Pulled                                   pod/kube-dns-78d5d95979-t7tnw                                      Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260412.00_p0@sha256:10a31e4c4338b37a10dbf4dfeaabd58a95b711e59abb740de628c32748184831" in 578ms (16.859s including waiting). Image size: 3374190 bytes.
kube-system                   35m         Normal    Created                                  pod/kube-dns-78d5d95979-t7tnw                                      Container created
kube-system                   35m         Normal    Started                                  pod/kube-dns-78d5d95979-t7tnw                                      Container started
kube-system                   35m         Normal    Pulled                                   pod/gke-metrics-agent-slgq6                                        Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df" already present on machine and can be accessed by the pod
kube-system                   35m         Normal    Created                                  pod/gke-metrics-agent-slgq6                                        Container created
default                       35m         Normal    NodeHasSufficientPID                     node/gke-portable-voting-default-pool-cc21b921-xfjv                Node gke-portable-voting-default-pool-cc21b921-xfjv status is now: NodeHasSufficientPID
default                       35m         Normal    NodeHasNoDiskPressure                    node/gke-portable-voting-default-pool-cc21b921-xfjv                Node gke-portable-voting-default-pool-cc21b921-xfjv status is now: NodeHasNoDiskPressure
default                       35m         Normal    Starting                                 node/gke-portable-voting-default-pool-cc21b921-xfjv                Starting kubelet.
default                       35m         Normal    NodeHasSufficientMemory                  node/gke-portable-voting-default-pool-cc21b921-xfjv                Node gke-portable-voting-default-pool-cc21b921-xfjv status is now: NodeHasSufficientMemory
default                       35m         Warning   InvalidDiskCapacity                      node/gke-portable-voting-default-pool-cc21b921-xfjv                invalid capacity 0 on image filesystem
default                       35m         Normal    NodeAllocatableEnforced                  node/gke-portable-voting-default-pool-cc21b921-xfjv                Updated Node Allocatable limit across pods
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/node-local-dns                                           Created pod: node-local-dns-2zchx
kube-system                   35m         Normal    Pulling                                  pod/gke-metrics-agent-slgq6                                        Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250807_2300_RC0@sha256:aa1ed41571fa937da61b5bcd7cf842981c7f026b516c18655bc2f3a9362b1fa5"
kube-system                   35m         Normal    Scheduled                                pod/anetd-zk5wc                                                    Successfully assigned kube-system/anetd-zk5wc to gke-portable-voting-default-pool-cc21b921-xfjv
kube-system                   35m         Warning   FailedMount                              pod/node-local-dns-2zchx                                           MountVolume.SetUp failed for volume "kube-dns-config" : object "kube-system"/"kube-dns" not registered
gmp-system                    35m         Normal    Scheduled                                pod/collector-hxvls                                                Successfully assigned gmp-system/collector-hxvls to gke-portable-voting-default-pool-cc21b921-xfjv
kube-system                   35m         Warning   FailedMount                              pod/node-local-dns-2zchx                                           MountVolume.SetUp failed for volume "config-volume" : object "kube-system"/"node-local-dns" not registered
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/pdcsi-node                                               Created pod: pdcsi-node-vxdw7
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/anetd                                                    Created pod: anetd-zk5wc
gmp-system                    35m         Normal    SuccessfulCreate                         daemonset/collector                                                Created pod: collector-hxvls
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/fluentbit-gke                                            Created pod: fluentbit-gke-dwjg6
kube-system                   35m         Warning   FailedMount                              pod/node-local-dns-2zchx                                           MountVolume.SetUp failed for volume "nodelocaldns-metrics-collector-config-map-vol" : object "kube-system"/"nodelocaldns-metrics-collector-config-map" not registered
default                       35m         Normal    RegisteredNode                           node/gke-portable-voting-default-pool-cc21b921-xfjv                Node gke-portable-voting-default-pool-cc21b921-xfjv event: Registered Node gke-portable-voting-default-pool-cc21b921-xfjv in Controller
kube-system                   35m         Normal    Started                                  pod/gke-metrics-agent-slgq6                                        Container started
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/gke-metrics-agent                                        Created pod: gke-metrics-agent-gmz45
kube-system                   35m         Normal    Scheduled                                pod/fluentbit-gke-dwjg6                                            Successfully assigned kube-system/fluentbit-gke-dwjg6 to gke-portable-voting-default-pool-cc21b921-xfjv
kube-system                   35m         Normal    Scheduled                                pod/netd-49hll                                                     Successfully assigned kube-system/netd-49hll to gke-portable-voting-default-pool-cc21b921-xfjv
kube-system                   35m         Normal    Pulling                                  pod/kube-dns-78d5d95979-t7tnw                                      Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-kube-dns:1.26.8-gke.3@sha256:e349d527bdfe0dfd02c26b38a94311415839ea30f48ca837d08ba5d9383f77cd"
kube-system                   35m         Warning   NetworkNotReady                          pod/node-local-dns-2zchx                                           network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
kube-system                   35m         Normal    Scheduled                                pod/node-local-dns-2zchx                                           Successfully assigned kube-system/node-local-dns-2zchx to gke-portable-voting-default-pool-cc21b921-xfjv
kube-system                   35m         Normal    SuccessfulCreate                         daemonset/netd                                                     Created pod: netd-49hll
kube-system                   35m         Normal    Scheduled                                pod/pdcsi-node-vxdw7                                               Successfully assigned kube-system/pdcsi-node-vxdw7 to gke-portable-voting-default-pool-cc21b921-xfjv
gmp-system                    35m         Warning   FailedMount                              pod/collector-hxvls                                                MountVolume.SetUp failed for volume "collection-secret" : object "gmp-system"/"collection" not registered
kube-system                   35m         Normal    Scheduled                                pod/gke-metrics-agent-gmz45                                        Successfully assigned kube-system/gke-metrics-agent-gmz45 to gke-portable-voting-default-pool-cc21b921-xfjv
kube-system                   35m         Normal    Pulled                                   pod/l7-default-backend-58ffbbd58-gr22t                             Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/ingress-gce-404-server-with-metrics:v1.38.7@sha256:bce3b45becb05edaf0fbac1159453a3a1e4d6407be41347f9a8f0114a1b61487" in 2.587s (18.917s including waiting). Image size: 7595136 bytes.
kube-system                   35m         Normal    Started                                  pod/l7-default-backend-58ffbbd58-gr22t                             Container started
default                       35m         Normal    Synced                                   node/gke-portable-voting-default-pool-cc21b921-xfjv                Node synced successfully
gmp-system                    35m         Warning   NetworkNotReady                          pod/collector-hxvls                                                network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
gmp-system                    35m         Warning   FailedMount                              pod/collector-hxvls                                                MountVolume.SetUp failed for volume "kube-api-access-8cd55" : object "gmp-system"/"kube-root-ca.crt" not registered
kube-system                   35m         Normal    Created                                  pod/l7-default-backend-58ffbbd58-gr22t                             Container created
gmp-system                    35m         Warning   FailedMount                              pod/collector-hxvls                                                MountVolume.SetUp failed for volume "config" : object "gmp-system"/"collector" not registered
kube-system                   35m         Normal    Created                                  pod/pdcsi-node-xbn5r                                               Container created
default                       35m         Warning   NodeRegistrationCheckerStart             node/gke-portable-voting-default-pool-cc21b921-xfjv                Thu Aug 20 10:16:47 UTC 2026 - ** Starting Node Registration Checker **
kube-system                   35m         Normal    Pulled                                   pod/pdcsi-node-xbn5r                                               Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce" in 31.888s (31.888s including waiting). Image size: 124338789 bytes.
kube-system                   35m         Normal    Pulled                                   pod/anetd-zk5wc                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/anet/cni-writer:v0.1.40-gke.0@sha256:67f53cef809fb894cad4b99137539fe57f46a6a1e0346b1cd1f598fd92801093" already present on machine and can be accessed by the pod
kube-system                   35m         Normal    Pulling                                  pod/pdcsi-node-xbn5r                                               Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250311_2300_RC0@sha256:e6713a8266629d9e103f7b2c7715bf510170fe28ebe2dc341327fa5e6a0facde"
kube-system                   35m         Normal    Pulling                                  pod/fluentbit-gke-dwjg6                                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8"
kube-system                   35m         Normal    Started                                  pod/pdcsi-node-xbn5r                                               Container started
kube-system                   35m         Normal    Pulled                                   pod/netd-49hll                                                     Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/netd-init:v0.10.12-gke.16@sha256:7c17ea472a942f1c612d26e240c15c79d9d0e9d4339010983785563559a11cdc" already present on machine and can be accessed by the pod
default                       35m         Warning   NodeSysctlChange                         node/gke-portable-voting-default-pool-cc21b921-xfjv                Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
kube-system                   35m         Normal    Created                                  pod/netd-49hll                                                     Container created
kube-system                   35m         Normal    Pulled                                   pod/metrics-server-v1.35.1-6559d8569d-vttnf                        Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/metrics-server:v0.8.0-gke.23@sha256:208c1ced1b6a551a067e526b616caf0e0da8fa98a60b3d22e9177c86563d17d0" in 4.055s (22.823s including waiting). Image size: 22695603 bytes.
kube-system                   35m         Normal    Pulling                                  pod/pdcsi-node-vxdw7                                               Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce"
kube-system                   35m         Normal    Created                                  pod/metrics-server-v1.35.1-6559d8569d-vttnf                        Container created
kube-system                   35m         Normal    Created                                  pod/anetd-zk5wc                                                    Container created
kube-system                   35m         Normal    Pulling                                  pod/gke-metrics-agent-gmz45                                        Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8"
kube-system                   35m         Normal    Pulled                                   pod/node-local-dns-vmlt6                                           Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c" in 823ms (23.562s including waiting). Image size: 3374191 bytes.
kube-system                   35m         Normal    Pulled                                   pod/metrics-server-v1.35.1-78f45667d-2k56n                         Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/metrics-server:v0.8.0-gke.23@sha256:208c1ced1b6a551a067e526b616caf0e0da8fa98a60b3d22e9177c86563d17d0" in 227ms (23s including waiting). Image size: 22695603 bytes.
kube-system                   35m         Normal    Created                                  pod/node-local-dns-vmlt6                                           Container created
default                       35m         Warning   ContainerdStart                          node/gke-portable-voting-default-pool-cc21b921-xfjv                Starting containerd.service...
kube-system                   35m         Normal    Created                                  pod/kube-dns-autoscaler-5dc7b666d8-cq7fg                           Container created
default                       35m         Warning   DockerStart                              node/gke-portable-voting-default-pool-cc21b921-xfjv                Starting docker.service...
kube-system                   35m         Normal    Started                                  pod/anetd-zk5wc                                                    Container started
kube-system                   35m         Normal    Pulled                                   pod/kube-dns-autoscaler-5dc7b666d8-cq7fg                           Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/cluster-proportional-autoscaler:v1.10.3-gke.2@sha256:608476c370ab6d23cf62b3cb470b0480c446ff43fc6fa48959aa5d90f235722e" in 2.584s (23.141s including waiting). Image size: 14214756 bytes.
kube-system                   35m         Normal    Started                                  pod/netd-49hll                                                     Container started
kube-system                   35m         Normal    Created                                  pod/metrics-server-v1.35.1-78f45667d-2k56n                         Container created
kube-system                   35m         Normal    Started                                  pod/kube-dns-autoscaler-5dc7b666d8-cq7fg                           Container started
kube-system                   35m         Normal    Started                                  pod/metrics-server-v1.35.1-6559d8569d-vttnf                        Container started
default                       35m         Warning   KubeletStart                             node/gke-portable-voting-default-pool-cc21b921-xfjv                Started kubelet.service.
kube-system                   35m         Normal    Pulled                                   pod/netd-49hll                                                     Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251007.00_p0@sha256:638afa0822ed4c4aad9ff9f8528667a9d04dd5e1c7b1c251e9344ca7dd4aad68" already present on machine and can be accessed by the pod
kube-system                   35m         Normal    Pulled                                   pod/anetd-zk5wc                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/cilium/cilium:v1.18.7-gke1.35-gke.14@sha256:2170ed688661e1b038eaed32840e7d207a13589471bd7251ccc0c184cbb1eb3f" already present on machine and can be accessed by the pod
kube-system                   35m         Normal    Started                                  pod/node-local-dns-vmlt6                                           Container started
kube-system                   35m         Normal    Pulling                                  pod/node-local-dns-vmlt6                                           Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-node-cache:1.26.8-gke.5@sha256:b466bc19f519bf5eb7ee278a57d33f9fdf253db8dd4e78677bd7b0373afcfea7"
kube-system                   35m         Normal    Started                                  pod/metrics-server-v1.35.1-78f45667d-2k56n                         Container started
kube-system                   35m         Normal    Created                                  pod/event-exporter-gke-7dc55f4f5f-fdvkm                            Container created
kube-system                   35m         Normal    Pulled                                   pod/event-exporter-gke-7dc55f4f5f-fdvkm                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260716.00_p0@sha256:134942efd2defb12c04345e6713ea73613466b7b281d2800c287b51c55ec0b00" in 3.504s (26.642s including waiting). Image size: 3338535 bytes.
default                       10m         Warning   ReadOnlyFileSystemDetected               node/gke-portable-voting-default-pool-cc21b921-xfjv
kube-system                   35m         Normal    SuccessfulCreate                         replicaset/kube-dns-78d5d95979                                     Created pod: kube-dns-78d5d95979-h7bfv
default                       35m         Normal    NodeReady                                node/gke-portable-voting-default-pool-cc21b921-xfjv                Node gke-portable-voting-default-pool-cc21b921-xfjv status is now: NodeReady
kube-system                   35m         Normal    Scheduled                                pod/kube-dns-78d5d95979-h7bfv                                      Successfully assigned kube-system/kube-dns-78d5d95979-h7bfv to gke-portable-voting-default-pool-cc21b921-hl2v
kube-system                   35m         Normal    ScalingReplicaSet                        deployment/kube-dns                                                Scaled up replica set kube-dns-78d5d95979 from 1 to 2
kube-system                   35m         Normal    Started                                  pod/event-exporter-gke-7dc55f4f5f-fdvkm                            Container started
gmp-system                    35m         Normal    ScalingReplicaSet                        deployment/rule-evaluator                                          Scaled down replica set rule-evaluator-79c78c4fd5 from 1 to 0
gmp-system                    35m         Normal    SuccessfulDelete                         replicaset/rule-evaluator-79c78c4fd5                               Deleted pod: rule-evaluator-79c78c4fd5-gws5x
gmp-system                    35m         Normal    SuccessfulDelete                         statefulset/alertmanager                                           Delete Pod alertmanager-0 in StatefulSet alertmanager successful
kube-system                   35m         Normal    Pulling                                  pod/event-exporter-gke-7dc55f4f5f-fdvkm                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/event-exporter:event-exporter-v0.5.12-gke.13@sha256:5606eef17770435b56842f0759c47bd9a0da9dd8a61eaa7eae34aedceedf4d43"
gke-managed-cim               35m         Normal    Pulled                                   pod/kube-state-metrics-0                                           Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/kube-state-metrics:v2.14.0-gke.58@sha256:04af0a0c7c400073ade2a5cb1b452df7ec3af5b55fba5718dc13b1629ed73a7d" in 3.167s (28.401s including waiting). Image size: 15894304 bytes.
kube-system                   35m         Normal    Created                                  pod/netd-49hll                                                     Container created
kube-system                   35m         Normal    Created                                  pod/anetd-zk5wc                                                    Container created
kube-system                   35m         Normal    Scheduled                                pod/konnectivity-agent-5446844985-6p5d7                            Successfully assigned kube-system/konnectivity-agent-5446844985-6p5d7 to gke-portable-voting-default-pool-cc21b921-xfjv
gke-managed-cim               35m         Normal    Created                                  pod/kube-state-metrics-0                                           Container created
gke-managed-cim               35m         Normal    Started                                  pod/kube-state-metrics-0                                           Container started
kube-system                   35m         Normal    SuccessfulCreate                         replicaset/konnectivity-agent-5446844985                           Created pod: konnectivity-agent-5446844985-6p5d7
gke-managed-cim               35m         Normal    Pulling                                  pod/kube-state-metrics-0                                           Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260113_2300_RC0@sha256:5eb81dc265af031294a413a32fde1b59d5b8480e3f131a09b5a1059294aefd99"
kube-system                   35m         Normal    Pulled                                   pod/fluentbit-gke-dwjg6                                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8" in 8.757s (8.777s including waiting). Image size: 2927935 bytes.
kube-system                   35m         Normal    ScalingReplicaSet                        deployment/konnectivity-agent                                      Scaled up replica set konnectivity-agent-5446844985 from 1 to 2
kube-system                   35m         Normal    Started                                  pod/netd-49hll                                                     Container started
kube-system                   35m         Normal    Created                                  pod/fluentbit-gke-dwjg6                                            Container created
kube-system                   35m         Normal    Started                                  pod/anetd-zk5wc                                                    Container started
kube-system                   35m         Normal    Pulled                                   pod/netd-49hll                                                     Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/netd:v0.10.12-gke.16@sha256:cb62348b061dc61180a3879c13c7cf1d3176312a167196776cf829e5c90c86c9" already present on machine and can be accessed by the pod
kube-system                   35m         Normal    Created                                  pod/gke-metrics-agent-gmz45                                        Container created
kube-system                   35m         Normal    Pulling                                  pod/fluentbit-gke-dwjg6                                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e"
kube-system                   35m         Normal    Started                                  pod/fluentbit-gke-dwjg6                                            Container started
kube-system                   35m         Normal    Pulled                                   pod/anetd-zk5wc                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251010.00_p0@sha256:3615589424e94c68f8cee5d50c27c5a8b1a1f50ab5dc175a14e8540db7c80e8e" already present on machine and can be accessed by the pod
kube-system                   35m         Normal    Created                                  pod/anetd-zk5wc                                                    Container created
kube-system                   35m         Normal    Pulled                                   pod/gke-metrics-agent-gmz45                                        Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8" in 1.735s (10.1s including waiting). Image size: 2929568 bytes.
kube-system                   34m         Normal    Created                                  pod/konnectivity-agent-5446844985-c46v8                            Container created
kube-system                   34m         Normal    Pulled                                   pod/netd-49hll                                                     Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20251007_2300_RC0@sha256:0d590a9fb5339909d425b2eede28ac05cc76346092cbe82602c7618f047c25f0" already present on machine and can be accessed by the pod
kube-system                   34m         Normal    Pulling                                  pod/konnectivity-agent-5446844985-6p5d7                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976"
kube-system                   34m         Normal    Started                                  pod/netd-49hll                                                     Container started
kube-system                   34m         Normal    Started                                  pod/gke-metrics-agent-gmz45                                        Container started
kube-system                   34m         Normal    Started                                  pod/anetd-zk5wc                                                    Container started
kube-system                   34m         Normal    Pulled                                   pod/anetd-zk5wc                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/cilium/cilium:v1.18.7-gke1.35-gke.14@sha256:2170ed688661e1b038eaed32840e7d207a13589471bd7251ccc0c184cbb1eb3f" already present on machine and can be accessed by the pod
kube-system                   34m         Normal    Pulled                                   pod/konnectivity-agent-5446844985-c46v8                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/proxy-agent:v0.35.0-gke.1@sha256:2065f91ef5b24b14f6b9da1f1eedf83895d5167918a93cb1770c1124e4ab038d" in 3.43s (18.263s including waiting). Image size: 29774159 bytes.
kube-system                   34m         Normal    Created                                  pod/netd-49hll                                                     Container created
kube-system                   34m         Normal    Pulled                                   pod/fluentbit-gke-dwjg6                                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e" in 1.019s (1.019s including waiting). Image size: 18877251 bytes.
kube-system                   34m         Normal    Created                                  pod/netd-49hll                                                     Container created
kube-system                   34m         Normal    Pulled                                   pod/fluentbit-gke-mqlk7                                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit:v0.0.422-gke.2@sha256:4b5df304074c9f2842f16ef4869c0ec253c2d91d6478e5aa42d2f8dce9146b45" in 10.528s (32.932s including waiting). Image size: 66344763 bytes.
kube-system                   34m         Normal    Started                                  pod/fluentbit-gke-dwjg6                                            Container started
kube-system                   34m         Normal    Created                                  pod/fluentbit-gke-mqlk7                                            Container created
kube-system                   34m         Normal    Started                                  pod/konnectivity-agent-5446844985-c46v8                            Container started
kube-system                   34m         Normal    Pulling                                  pod/konnectivity-agent-5446844985-c46v8                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260121_2300_RC0@sha256:3cbd2b897c681db94832b4e03e58e4e2168666259507ff8fb8ae43a01a3b5f5d"
kube-system                   34m         Normal    Created                                  pod/fluentbit-gke-dwjg6                                            Container created
kube-system                   34m         Normal    Pulling                                  pod/gke-metrics-agent-gmz45                                        Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df"
kube-system                   34m         Normal    Created                                  pod/anetd-zk5wc                                                    Container created
kube-system                   34m         Normal    Started                                  pod/netd-49hll                                                     Container started
kube-system                   34m         Normal    Started                                  pod/anetd-zk5wc                                                    Container started
kube-system                   34m         Normal    Pulled                                   pod/anetd-zk5wc                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20251009_2300_RC0@sha256:4c8e8cc4f739fc539e35c1581af031232d8885ee10f28484cb2085f5dfbb2b7d" already present on machine and can be accessed by the pod
kube-system                   34m         Normal    Started                                  pod/fluentbit-gke-mqlk7                                            Container started
kube-system                   34m         Normal    Pulling                                  pod/fluentbit-gke-mqlk7                                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit-gke-exporter:v0.27.17-gke.20@sha256:67269cb89dbf9cf4e76e199a634c178eec76e74ae45694e8000893f7cae6179e"
kube-system                   34m         Normal    Created                                  pod/konnectivity-agent-5446844985-6p5d7                            Container created
kube-system                   34m         Normal    Pulled                                   pod/konnectivity-agent-5446844985-6p5d7                            Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976" in 2.272s (2.272s including waiting). Image size: 2887395 bytes.
kube-system                   34m         Normal    Created                                  pod/anetd-zk5wc                                                    Container created
kube-system                   34m         Normal    Started                                  pod/konnectivity-agent-5446844985-6p5d7                            Container started
kube-system                   34m         Normal    Pulling                                  pod/fluentbit-gke-dwjg6                                            Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit:v0.0.422-gke.2@sha256:4b5df304074c9f2842f16ef4869c0ec253c2d91d6478e5aa42d2f8dce9146b45"
kube-system                   34m         Normal    Started                                  pod/anetd-zk5wc                                                    Container started
kube-system                   34m         Normal    Created                                  pod/kube-dns-78d5d95979-t7tnw                                      Container created
kube-system                   34m         Normal    Pulled                                   pod/kube-dns-78d5d95979-h7bfv                                      Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260412.00_p0@sha256:10a31e4c4338b37a10dbf4dfeaabd58a95b711e59abb740de628c32748184831" already present on machine and can be accessed by the pod
kube-system                   34m         Normal    Pulled                                   pod/kube-dns-78d5d95979-t7tnw                                      Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-kube-dns:1.26.8-gke.3@sha256:e349d527bdfe0dfd02c26b38a94311415839ea30f48ca837d08ba5d9383f77cd" in 4.93s (19.922s including waiting). Image size: 30596335 bytes.
kube-system                   34m         Normal    Created                                  pod/kube-dns-78d5d95979-h7bfv                                      Container created
kube-system                   34m         Normal    Pulling                                  pod/node-local-dns-2zchx                                           Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c"
kube-system                   34m         Normal    Pulled                                   pod/gke-metrics-agent-slgq6                                        Successfully pulled image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250807_2300_RC0@sha256:aa1ed41571fa937da61b5bcd7cf842981c7f026b516c18655bc2f3a9362b1fa5" in 4.784s (20.51s including waiting). Image size: 25459396 bytes.
kube-system                   34m         Normal    Created                                  pod/gke-metrics-agent-slgq6                                        Container created
kube-system                   34m         Normal    Started                                  pod/kube-dns-78d5d95979-t7tnw                                      Container started
gmp-system                    34m         Normal    Pulling                                  pod/collector-hxvls                                                Pulling image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260715.00_p0@sha256:31d0dbad107b5a78e7c824250a9912aec521846b0813c48921d445fb204b197d"
kube-system                   34m         Normal    Started                                  pod/kube-dns-78d5d95979-h7bfv                                      Container started
