NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                             MESSAGE
kube-system                   40m         Normal    Scheduled                                pod/netd-drwst                                                     Successfully assigned kube-system/netd-drwst to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   40m         Normal    Scheduled                                pod/anetd-2r7gz                                                    Successfully assigned kube-system/anetd-2r7gz to gke-portable-voting-default-pool-2393733d-3flq
gmp-system                    40m         Normal    Scheduled                                pod/collector-f27hc                                                Successfully assigned gmp-system/collector-f27hc to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   40m         Normal    SuccessfulCreate                         daemonset/netd                                                     Created pod: netd-drwst
gmp-system                    40m         Normal    SuccessfulCreate                         daemonset/collector                                                Created pod: collector-f27hc
kube-system                   40m         Normal    SuccessfulCreate                         daemonset/gke-metrics-agent                                        Created pod: gke-metrics-agent-wrvtz
default                       40m         Normal    Synced                                   node/gke-portable-voting-default-pool-2393733d-3flq                Node synced successfully
kube-system                   40m         Normal    SuccessfulCreate                         daemonset/fluentbit-gke                                            Created pod: fluentbit-gke-lbhr6
kube-system                   40m         Normal    Scheduled                                pod/gke-metrics-agent-wrvtz                                        Successfully assigned kube-system/gke-metrics-agent-wrvtz to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   40m         Normal    Scheduled                                pod/node-local-dns-6t5fg                                           Successfully assigned kube-system/node-local-dns-6t5fg to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   40m         Normal    SuccessfulCreate                         daemonset/anetd                                                    Created pod: anetd-2r7gz
kube-system                   40m         Warning   FailedScheduling                         pod/konnectivity-agent-5446844985-k8xgt                            0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
default                       40m         Warning   ContainerdStart                          node/gke-portable-voting-default-pool-2393733d-3flq                Starting containerd.service...
default                       40m         Warning   ReadOnlyFileSystemDetected               node/gke-portable-voting-default-pool-2393733d-3flq
kube-system                   40m         Normal    Scheduled                                pod/fluentbit-gke-lbhr6                                            Successfully assigned kube-system/fluentbit-gke-lbhr6 to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   40m         Warning   FailedScheduling                         pod/antrea-controller-horizontal-autoscaler-5f556bf8c6-w4z9q       0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
default                       40m         Warning   DockerStart                              node/gke-portable-voting-default-pool-2393733d-3flq                Starting docker.service...
